PLN_ID	PO_ID	SAG_ID	LD_DT	PLN_SAG_ID	VISN_CLNT_ID	LN_OF_BUS_CD	PLN_SGMNT_CD	PLN_STATUS_CD	PRODT_LN_CD	PLN_TYPE	PLN_INCPT_DT	PLN_FRZ_LIFT_DT	VMAP_PLN_BGN_DT	VMAP_PLN_END_DT	DEFAULT_FUND	DEFAULT_ASSET_CLASS	PRODT_FTR_1471	PRODT_FTR_1472	PRODT_FTR_1473	PRODT_FTR_1474	PART_STATUS_CD	AGE	GENDR_CD	MRTL_STATUS_CD	PLN_ENTRY_DT	HIRE_DT	TERM_DT	FORF_INF_FL	STE_CD	ZIP_CD	ZIP_PLUS_4_CD	WEB_REG_FL	WEB_STMT_FL	WEB_CNFRM_FL	WEB_NOTICE_FL	WEB_TAX_FORM_FL	WEB_MONEY_WHYS_FL	VMAP_PART_BGN_DT	VMAP_PART_END_DT	LOAN_CNT	LOAN_DEFAULT_CNT12	LOAN_DEEMED_CNT12	LOAN_DEFAULT_CNT01	LOAN_DEEMED_CNT01	HCE_FL	ONE_STEP_FL	PDP_PTAX_PCT	PDP_ROTH_PCT	PDP_ATAX_PCT	PDP_TOT_PCT	PDP_PTAX_AMT	PDP_ROTH_AMT	PDP_ATAX_AMT	PDP_TOT_AMT	PART_BAL	LOAN_BAL	VGI_MF_STOCK_BAL	VGI_MF_TARGET_BAL	VGI_MF_LS_BAL	VGI_MF_BLN_BAL	VGI_MF_BOND_BAL	VGI_MF_MMKT_BAL	VGI_MF_OTH_BAL	RST_BAL	CMP_STOCK_BAL	STABLE_VAL_BAL	NVGI_MF_STOCK_BAL	NVGI_MF_BLN_BAL	NVGI_MF_BOND_BAL	NVGI_MF_MMKT_BAL	NVGI_MF_OTH_BAL	NVGI_BAL	VBO_BAL	AC_GR_46_STOCK_BAL	AC_GR_46_BLN_BAL	AC_GR_46_BOND_BAL	AC_GR_46_MMKT_BAL	AC_GR_46_OTH_BAL	OTH_BAL	VGI_INDEX_BAL	VGI_ACTIVE_BAL	NVGI_INDEX_BAL	NVGI_ACTIVE_BAL	VGI_SC_INV_BAL	VGI_SC_ADML_BAL	VGI_SC_INS_BAL	VGI_SC_INS_PL_BAL	VGI_SC_SGN_BAL	VGI_SC_OTH_BAL	EE_PTAX_BAL	EE_ROTH_BAL	EE_ATAX_BAL	ER_BAL	EE_PTAX_RO_BAL	EE_ROTH_RO_BAL	EE_ATAX_RO_BAL	SRC_OTH_BAL	PART_FND_CNT	PART_VGI_STOCK_CNT	PART_VGI_TARGET_CNT	PART_VGI_LS_CNT	PART_VGI_BLN_CNT	PART_VGI_BOND_CNT	PART_VGI_MMKT_CNT	PART_VGI_OTH_CNT	PART_RST_CNT	PART_CMP_STOCK_CNT	PART_STABLE_VAL_CNT	PART_NVGI_STOCK_CNT	PART_NVGI_BLN_CNT	PART_NVGI_BOND_CNT	PART_NVGI_MMKT_CNT	PART_NVGI_OTH_CNT	PART_NVGI_CNT	PART_AC_GR_46_STK_CNT	PART_AC_GR_46_BLN_CNT	PART_AC_GR_46_BOND_CNT	PART_AC_GR_46_MMKT_CNT	PART_AC_GR_46_OTH_CNT	PART_OTH_CNT	PART_VGI_INDEX_CNT	PART_VGI_ACTIVE_CNT	PART_NVGI_INDEX_CNT	PART_NVGI_ACTIVE_CNT	BAL_CD	CONTRIB_AMT01	EE_PTAX_CONTRIB_AMT01	EE_ROTH_CONTRIB_AMT01	EE_ATAX_CONTRIB_AMT01	ER_CONTRIB_AMT01	EE_PTAX_RO_CONTRIB_AMT01	EE_ROTH_RO_CONTRIB_AMT01	EE_ATAX_RO_CONTRIB_AMT01	SRC_OTHER_CONTRIB_AMT01	EXCH_IN_AMT01	EXCH_OUT_AMT01	EXCH_IN_PW_AMT01	EXCH_OUT_PW_AMT01	LOAN_ISS_AMT01	LOAN_REPAY_AMT01	INSTALL_AMT01	FORF_WDRL_AMT01	TERM_AMT01	WDRL_AMT01	T301_08_AMT01	T302_08_AMT01	T303_08_AMT01	T304_08_AMT01	T305_08_AMT01	T301_27_AMT01	T302_27_AMT01	T303_27_AMT01	T304_27_AMT01	T305_27_AMT01	T301_09_AMT01	CONTRIB_DD_CNT01	EE_PTAX_CONTRIB_DD_CNT01	EE_ROTH_CONTRIB_DD_CNT01	EE_ATAX_CONTRIB_DD_CNT01	ER_CONTRIB_DD_CNT01	EE_PTAX_RO_CONTRIB_DD_CNT01	EE_ROTH_RO_CONTRIB_DD_CNT01	EE_ATAX_RO_CONTRIB_DD_CNT01	SRC_OTHER_CONTRIB_DD_CNT01	EXCH_IN_DD_CNT01	EXCH_OUT_DD_CNT01	EXCH_IN_PW_DD_CNT01	EXCH_OUT_PW_DD_CNT01	LOAN_ISS_DD_CNT01	LOAN_REPAY_DD_CNT01	INSTALL_DD_CNT01	FORF_WDRL_DD_CNT01	TERM_DD_CNT01	WDRL_DD_CNT01	T301_08_DD_CNT01	T302_08_DD_CNT01	T303_08_DD_CNT01	T304_08_DD_CNT01	T305_08_DD_CNT01	T301_27_DD_CNT01	T302_27_DD_CNT01	T303_27_DD_CNT01	T304_27_DD_CNT01	T305_27_DD_CNT01	T301_09_DD_CNT01	TXN_CD01	CONTRIB_AMT12	EE_PTAX_CONTRIB_AMT12	EE_ROTH_CONTRIB_AMT12	EE_ATAX_CONTRIB_AMT12	ER_CONTRIB_AMT12	EE_PTAX_RO_CONTRIB_AMT12	EE_ROTH_RO_CONTRIB_AMT12	EE_ATAX_RO_CONTRIB_AMT12	SRC_OTHER_CONTRIB_AMT12	EXCH_IN_AMT12	EXCH_OUT_AMT12	EXCH_IN_PW_AMT12	EXCH_OUT_PW_AMT12	LOAN_ISS_AMT12	LOAN_REPAY_AMT12	INSTALL_AMT12	FORF_WDRL_AMT12	TERM_AMT12	WDRL_AMT12	T301_08_AMT12	T302_08_AMT12	T303_08_AMT12	T304_08_AMT12	T305_08_AMT12	T301_27_AMT12	T302_27_AMT12	T303_27_AMT12	T304_27_AMT12	T305_27_AMT12	T301_09_AMT12	CONTRIB_DD_CNT12	EE_PTAX_CONTRIB_DD_CNT12	EE_ROTH_CONTRIB_DD_CNT12	EE_ATAX_CONTRIB_DD_CNT12	ER_CONTRIB_DD_CNT12	EE_PTAX_RO_CONTRIB_DD_CNT12	EE_ROTH_RO_CONTRIB_DD_CNT12	EE_ATAX_RO_CONTRIB_DD_CNT12	SRC_OTHER_CONTRIB_DD_CNT12	EXCH_IN_DD_CNT12	EXCH_OUT_DD_CNT12	EXCH_IN_PW_DD_CNT12	EXCH_OUT_PW_DD_CNT12	LOAN_ISS_DD_CNT12	LOAN_REPAY_DD_CNT12	INSTALL_DD_CNT12	FORF_WDRL_DD_CNT12	TERM_DD_CNT12	WDRL_DD_CNT12	T301_08_DD_CNT12	T302_08_DD_CNT12	T303_08_DD_CNT12	T304_08_DD_CNT12	T305_08_DD_CNT12	T301_27_DD_CNT12	T302_27_DD_CNT12	T303_27_DD_CNT12	T304_27_DD_CNT12	T305_27_DD_CNT12	T301_09_DD_CNT12	CONTRIB_MM_CNT12	EE_PTAX_CONTRIB_MM_CNT12	EE_ROTH_CONTRIB_MM_CNT12	EE_ATAX_CONTRIB_MM_CNT12	ER_CONTRIB_MM_CNT12	EE_PTAX_RO_CONTRIB_MM_CNT12	EE_ROTH_RO_CONTRIB_MM_CNT12	EE_ATAX_RO_CONTRIB_MM_CNT12	SRC_OTHER_CONTRIB_MM_CNT12	EXCH_IN_MM_CNT12	EXCH_OUT_MM_CNT12	EXCH_IN_PW_MM_CNT12	EXCH_OUT_PW_MM_CNT12	LOAN_ISS_MM_CNT12	LOAN_REPAY_MM_CNT12	INSTALL_MM_CNT12	FORF_WDRL_MM_CNT12	TERM_MM_CNT12	WDRL_MM_CNT12	T301_08_MM_CNT12	T302_08_MM_CNT12	T303_08_MM_CNT12	T304_08_MM_CNT12	T305_08_MM_CNT12	T301_27_MM_CNT12	T302_27_MM_CNT12	T303_27_MM_CNT12	T304_27_MM_CNT12	T305_27_MM_CNT12	T301_09_MM_CNT12	CONTRIB_LAST_DT12	EE_PTAX_CONTRIB_LAST_DT12	EE_ROTH_CONTRIB_LAST_DT12	EE_ATAX_CONTRIB_LAST_DT12	ER_CONTRIB_LAST_DT12	EE_PTAX_RO_CONTRIB_LAST_DT12	EE_ROTH_RO_CONTRIB_LAST_DT12	EE_ATAX_RO_CONTRIB_LAST_DT12	SRC_OTHER_CONTRIB_LAST_DT12	EXCH_IN_LAST_DT12	EXCH_OUT_LAST_DT12	EXCH_IN_PW_LAST_DT12	EXCH_OUT_PW_LAST_DT12	LOAN_ISS_LAST_DT12	LOAN_REPAY_LAST_DT12	INSTALL_LAST_DT12	FORF_WDRL_LAST_DT12	TERM_LAST_DT12	WDRL_LAST_DT12	T301_08_LAST_DT12	T302_08_LAST_DT12	T303_08_LAST_DT12	T304_08_LAST_DT12	T305_08_LAST_DT12	T301_27_LAST_DT12	T302_27_LAST_DT12	T303_27_LAST_DT12	T304_27_LAST_DT12	T305_27_LAST_DT12	T301_09_LAST_DT12	TXN_CD12	PLAN_FND_CNT	PLAN_VGI_STOCK_CNT	PLAN_VGI_TARGET_CNT	PLAN_VGI_LS_CNT	PLAN_VGI_BLN_CNT	PLAN_VGI_BOND_CNT	PLAN_VGI_MMKT_CNT	PLAN_VGI_OTH_CNT	PLAN_RST_CNT	PLAN_CMP_STOCK_CNT	PLAN_STABLE_VAL_CNT	PLAN_NVGI_STOCK_CNT	PLAN_NVGI_BLN_CNT	PLAN_NVGI_BOND_CNT	PLAN_NVGI_MMKT_CNT	PLAN_NVGI_OTH_CNT	PLAN_NVGI_CNT	PLAN_AC_GR_46_STK_CNT	PLAN_AC_GR_46_BLN_CNT	PLAN_AC_GR_46_BOND_CNT	PLAN_AC_GR_46_MMKT_CNT	PLAN_AC_GR_46_OTH_CNT	PLAN_OTH_CNT	PLAN_VGI_INDEX_CNT	PLAN_VGI_ACTIVE_CNT	PLAN_NVGI_INDEX_CNT	PLAN_NVGI_ACTIVE_CNT	VMAP_PLN_OFFER_FL	VMAP_PART_USES_FL
90880	b'Aw0LBAAHBAMJ'	b'AQYHCgMNBQ=='	1-Aug-18	9001419	1597	DC	LR	2	DC	401k	1-Jan-63	30-Mar-99	3-Jul-13	31-Dec-99	TRF9	BALANCED	N	N	N	Y	31	47	F	UK	1-May-99	1-May-98	10-Sep-99	N	NC	27604	5877	Y	N	N	N	N	N			0	0	0	0	0	N	N									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																															1	23	5	12	0	0	0	1	0	1	0	0	3	0	1	0	0	4	0	0	0	0	0	0	17	1	0	4	Y	N
93612	b'AQAFBQQGAwoDBQ=='	b'AQUHBwIMAQc='	1-Aug-18	11462649	2785	DC	SL	2	DC	401(K)/PROFIT SHARING SOURCE	1-Jul-68	30-Sep-04			TRF9	BALANCED	N	N	Y	Y	0	45	F	UK	1-Jan-01	30-Aug-99		N	KY	40336	8804	Y	Y	Y	N	N	N			1	0	0	0	0	N	Y	5	0	0	5	0	0	0	0	114647.59	3506.44	0	114647.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114647.59	0	0	0	0	0	114647.59	0	0	0	15888.58	0	0	98759.01	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	549.99	343.74	0	0	206.25	0	0	0	0	0	0	0	0	0	431.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6058.68	2639.73	0	0	3418.95	0	0	0	0	0	0	0	0	0	3743.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	26	0	0	28	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	12	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30-Aug-18	30-Aug-18			30-Aug-18										30-Aug-18																1	32	15	12	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	1	0	0	N	N
92510	b'AQYGAgcFBgsIBA=='	b'BwADAQkHAgo='	1-Aug-18	71071168	4073	DC	LR	2	DC	401k	1-Jan-17	3-Jan-17	22-Sep-17	31-Dec-99	TRF9	BALANCED	N	Y	N	N	0	36	M	UK	8-Jun-17	1-May-17		N	MI	48310	4166	N	N	N	N	N	N			0	0	0	0	0	N	N	2	0	0	2	0	0	0	0	2111.63	0	0	2111.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2111.63	0	0	0	0	0	0	0	0	2111.63	1407.63	0	0	704	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	130.84	87.23	0	0	43.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1691.49	1127.66	0	0	563.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27-Aug-18	27-Aug-18			27-Aug-18																										1	20	5	12	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	18	1	0	1	Y	N
90067	b'CQQFBQcFCgUB'	b'AwMDBAcFAQo='	1-Aug-18	9000642	66	DC	403b	2	DC	403(B)(7)	1-Jan-83	1-Jan-92			TRF9	BALANCED	N	N	N	N	35	64	F	MA	1-Mar-08	13-Feb-08	12-May-08	N	NY	10025	4370	N	N	N	N	N	N			0	0	0	0	0	N	N									1488.38	0	0	1488.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1488.38	0	0	0	0	0	1488.38	0	0	0	0	0	0	1488.38	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1476.14	1476.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												31-Jul-18	31-Jul-18																		1	74	38	12	4	5	13	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	37	0	0	N	N
78067	b'AgAGCwAGCgAC'	b'AgEAAAUBAwQ='	1-Aug-18	24847190	3539	DC	403b	2	NQP	457(b) Governmental	9-Sep-05	16-Nov-06			TRF9	BALANCED	N	N	Y	N	0	50	M	MA	23-May-88	23-May-88		N	FL	34787	9744	Y	Y	Y	N	N	N			0	0	0	0	0	N	N	2	0	0	2	0	0	0	0	115167.57	0	115167.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115167.57	0	0	31933.96	83233.61	0	0	0	0	115167.57	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	139.77	139.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1762.48	1762.48	0	0	0	0	0	0	0	0	0	0	0	0	299.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17-Aug-18	17-Aug-18													8-Dec-17																1	39	12	12	0	0	5	2	0	1	0	0	7	0	0	0	0	7	0	0	0	0	0	0	24	7	0	7	N	N
91524	b'AQEGAAYAAwYJBw=='	b'Bw0ACwQFAgE='	1-Aug-18	9002057	926	DC	SL	2	DC	401k	1-May-10	14-Jun-10			TRF9	BALANCED	N	Y	N	N	0	30	F	UK	13-Feb-18	12-Feb-18		N	CA	94401	2736	Y	Y	Y	Y	Y	N			0	0	0	0	0	N	Y	5	0	0	5	0	0	0	0	3378.34	0	0	3378.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3378.34	0	0	0	0	0	3378.34	0	0	0	1876.86	0	0	1501.48	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	487.76	270.98	0	0	216.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3283.87	1824.38	0	0	1459.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	14	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24-Aug-18	24-Aug-18			24-Aug-18																										1	52	16	13	0	3	4	2	0	0	0	0	9	2	3	0	0	14	0	0	0	0	0	0	21	17	0	14	N	N
90310	b'AQcBAwYDAAQIBg=='	b'AwMEBwkNAQQ='	1-Aug-18	9000872	1742	DC	JB	2	DC	401k	1-Jan-86	18-Nov-99	10-Jun-05	31-Dec-99	OTHR	BALANCED	N	Y	N	N	0	62	F	UK	26-Mar-10	23-Jun-08		N	CA	91360	3311	Y	N	N	N	N	N			0	0	0	0	0	N	N	37	0	0	37	0	0	0	0	55341.49	0	0	0	0	0	0	0	0	0	0	0	0	55341.49	0	0	0	55341.49	0	0	0	0	0	0	0	0	0	0	55341.49	0	0	0	0	0	0	49730.24	0	0	5611.25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1216.17	1176.43	0	0	39.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17414.92	16462	0	0	952.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	27	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21-Aug-18	21-Aug-18			21-Aug-18																										1	24	4	0	1	2	1	0	0	0	0	1	3	10	0	0	0	13	1	0	1	0	0	0	4	4	0	13	Y	N
97528	b'AQwLBQcGBgoEAQ=='	b'BgcEAwMABwA='	1-Aug-18	62816784	4136	DC	MJ	2	DC	401k	1-Jul-72	31-Dec-15	22-Jul-16	31-Dec-99	TRF9	BALANCED	N	Y	N	N	0	72	M	MA	2-Apr-12	30-Jan-12		N	OH	44070	4308	N	N	N	N	N	N			1	0	0	0	0	N	N	3	0	0	3	0	0	0	0	18381.7	1012.38	0	18381.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18381.7	0	0	0	0	0	18381.7	0	0	0	4238.75	0	0	7618.94	6524.01	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	71.88	47.92	0	0	23.96	0	0	0	0	0	0	0	0	0	41.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2863.85	1187.7	0	0	1676.15	0	0	0	0	0	0	0	0	0	1039.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	28	0	0	29	0	0	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	12	0	0	0	0	0	0	0	0	0	12	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15-Aug-18	15-Aug-18			15-Aug-18										15-Aug-18					5-Jan-18											1	30	5	12	0	0	1	1	0	1	0	0	7	0	3	0	0	10	0	0	0	0	0	0	17	2	0	10	Y	N
91310	b'AQMGCwYGCwoBDQ=='	b'AgADAgACAwM='	1-Aug-18	9001843	303	DC	LR	2	DC	401k	1-Jul-91	1-Oct-91	27-Apr-07	31-Dec-99	TRF9	BALANCED	N	N	Y	N	0	57	F	UK	3-Apr-06	3-Apr-06		N	CA	94941	1229	Y	N	Y	Y	Y	Y			0	0	0	0	0	N	N	11	0	0	11	0	0	0	0	251014.43	0	0	251014.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251014.43	0	0	0	0	0	0	0	0	251014.43	171768.25	0	0	79246.18	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	906.49	795.5	0	0	110.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14590.21	10090.21	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21-Aug-18	21-Aug-18			3-Aug-18																										1	24	5	12	0	0	1	1	0	1	0	0	3	0	1	0	0	4	0	0	0	0	0	0	15	4	0	4	Y	N
90518	b'Ag0EAQICBQs='	b'BAwEBwIFAgI='	1-Aug-18	9001066	33	DC	JB	2	DC	401k	6-Jan-86		4-Nov-11	31-Dec-99	TRF9	BALANCED	N	N	N	N	35	44	F	SN	17-Oct-12	23-Jul-12	30-Apr-15	N	FL	33702	2327	Y	Y	Y	Y	Y	Y			0	0	0	0	0	N	N	0	0	0	0	0	0	0	0	34422.69	0	0	34422.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34422.69	0	0	0	0	0	0	0	0	34422.69	2256.28	17256.29	0	14910.12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																															1	31	3	12	0	0	1	2	0	0	2	0	6	0	2	0	0	8	2	0	1	0	0	0	14	4	0	8	Y	N
